iter	Logloss
0	0.684717857
1	0.6778847622
2	0.6724205145
3	0.6678037883
4	0.6639793456
5	0.6609567524
6	0.6584369629
7	0.6563075904
8	0.6544912955
9	0.652997853
10	0.6516385298
11	0.6504782506
12	0.649485905
13	0.6485671057
14	0.6477138053
15	0.6470481816
16	0.6463809236
17	0.645730075
18	0.6451268728
19	0.6446188797
20	0.6441510536
21	0.6437388535
22	0.643294076
23	0.6428932776
24	0.6424588404
25	0.6420679468
26	0.641750424
27	0.641446248
28	0.641091322
29	0.640791201
30	0.6405130455
31	0.6402493485
32	0.6400039356
33	0.639778126
34	0.6395581561
35	0.6393805882
36	0.6391701881
37	0.6389565693
38	0.6387682202
39	0.6385812979
40	0.6383890268
41	0.6382365906
42	0.6380521022
43	0.6378915302
44	0.6376967462
45	0.6375633979
46	0.6374054035
47	0.6372336535
48	0.6370857171
49	0.636928255
50	0.6367780209
51	0.6366274036
52	0.6365050859
53	0.6363771886
54	0.6362523833
55	0.6360891666
56	0.6359191079
57	0.6358089906
58	0.6356611939
59	0.635522052
60	0.6353667369
61	0.635259709
62	0.635165827
63	0.6350292632
64	0.6349311814
65	0.6348343454
66	0.6347320529
67	0.6345835445
68	0.6344631898
69	0.6343532472
70	0.6342407862
71	0.6341466616
72	0.6340629127
73	0.6339548828
74	0.6338650107
75	0.6337673157
76	0.6336908677
77	0.6335815186
78	0.6334631703
79	0.6334080835
80	0.6332926199
81	0.6331833546
82	0.6330718172
83	0.6329373817
84	0.6328147275
85	0.6327336105
86	0.6326629965
87	0.6325601409
88	0.6324186492
89	0.6323324732
90	0.6322120676
91	0.6321134462
92	0.6320387003
93	0.6319458678
94	0.6318739577
95	0.6318075814
96	0.6317142301
97	0.6315573499
98	0.6314466397
99	0.631328265
100	0.6312464631
101	0.6311624968
102	0.6310492386
103	0.6309319225
104	0.6307995643
105	0.6307621379
106	0.6306998221
107	0.6306047999
108	0.6304931284
109	0.6304256167
110	0.630351767
111	0.6302384349
112	0.6301143639
113	0.629986975
114	0.6298922732
115	0.629807203
116	0.6297507827
117	0.6296674121
118	0.629572319
119	0.6294752807
120	0.62936411
121	0.6292999918
122	0.6292289824
123	0.6291336338
124	0.6290150767
125	0.6289604569
126	0.6288717734
127	0.6287640756
128	0.6286474343
129	0.6285770832
130	0.6284753885
131	0.6283840678
132	0.6283230655
133	0.6282146619
134	0.6281243257
135	0.6280712287
136	0.6279799455
137	0.6278796879
138	0.6277718347
139	0.6276845191
140	0.627598729
141	0.6275211495
142	0.6274414159
143	0.6273589026
144	0.6272552301
145	0.6271535153
146	0.6271052867
147	0.6270298359
148	0.6269239832
149	0.6268263607
150	0.6267363284
151	0.6266386842
152	0.6265498532
153	0.626440386
154	0.6263151052
155	0.6262143606
156	0.626119599
157	0.6260393591
158	0.6259542507
159	0.6258509641
160	0.6257697996
161	0.6256601068
162	0.6255858054
163	0.6255041318
164	0.6254355049
165	0.6253356947
166	0.6252464883
167	0.6251731535
168	0.6250687978
169	0.6249596699
170	0.6249113769
171	0.6248126543
