iter	Passed	Remaining
0	35	35499
1	66	32948
2	95	31645
3	125	31363
4	162	32296
5	200	33270
6	235	33377
7	275	34217
8	312	34435
9	347	34362
10	380	34227
11	418	34444
12	460	34965
13	495	34908
14	531	34896
15	571	35157
16	615	35574
17	656	35807
18	692	35766
19	733	35924
20	775	36159
21	812	36126
22	843	35820
23	878	35715
24	913	35640
25	950	35614
26	990	35689
27	1023	35521
28	1094	36649
29	1191	38536
30	1228	38411
31	1270	38432
32	1310	38393
33	1346	38257
34	1401	38649
35	1437	38489
36	1476	38422
37	1521	38507
38	1560	38448
39	1598	38357
40	1642	38428
41	1716	39158
42	1759	39154
43	1799	39093
44	1839	39030
45	1878	38950
46	1914	38811
47	1952	38724
48	1996	38756
49	2034	38661
50	2078	38681
51	2113	38537
52	2150	38430
53	2186	38312
54	2227	38265
55	2269	38263
56	2313	38278
57	2348	38145
58	2386	38067
59	2424	37987
60	2465	37947
61	2512	38014
62	2549	37917
63	2595	37961
64	2631	37858
65	2668	37764
66	2711	37758
67	2747	37663
68	2785	37581
69	2824	37521
70	2861	37446
71	2909	37498
72	2945	37407
73	2982	37322
74	3020	37249
75	3057	37171
76	3099	37151
77	3137	37084
78	3175	37021
79	3214	36969
80	3255	36932
81	3300	36954
82	3347	36981
83	3387	36943
84	3426	36887
85	3463	36810
86	3504	36777
87	3542	36715
88	3581	36663
89	3618	36585
90	3658	36545
91	3720	36722
92	3757	36644
93	3799	36621
94	3837	36558
95	3877	36508
96	3919	36491
97	3957	36421
98	3993	36343
99	4043	36387
100	4079	36313
101	4120	36279
102	4159	36221
103	4196	36154
104	4238	36127
105	4278	36084
106	4322	36074
107	4359	36009
108	4397	35943
109	4436	35896
110	4472	35823
111	4517	35819
112	4556	35768
113	4592	35693
114	4632	35651
115	4672	35606
116	4712	35564
117	4756	35551
118	4794	35496
119	4831	35428
120	4871	35391
121	4907	35315
122	4955	35330
123	4994	35285
124	5032	35228
125	5065	35135
126	5103	35078
127	5142	35032
128	5184	35004
129	5224	34966
130	5266	34933
131	5303	34873
132	5338	34802
133	5377	34753
134	5416	34703
135	5457	34671
136	5494	34613
137	5532	34559
138	5575	34537
139	5613	34485
140	5715	34817
141	5789	34980
142	5827	34922
143	5870	34896
144	5930	34967
145	5972	34933
146	6005	34850
147	6045	34801
148	6084	34753
149	6119	34674
150	6159	34631
151	6214	34667
152	6276	34747
153	6313	34685
154	6353	34639
155	6395	34602
156	6435	34555
157	6477	34517
158	6519	34481
159	6556	34420
160	6600	34396
161	6637	34336
162	6683	34319
163	6716	34236
164	6752	34170
165	6787	34100
166	6827	34057
167	6876	34052
168	6914	34001
169	6954	33954
170	6992	33899
171	7032	33851
172	7076	33829
173	7112	33765
174	7154	33728
175	7209	33754
176	7268	33795
177	7306	33739
178	7340	33669
179	7380	33622
180	7418	33566
181	7461	33536
182	7506	33511
183	7544	33460
184	7579	33390
185	7617	33338
186	7659	33302
187	7699	33254
188	7739	33210
189	7780	33168
190	7824	33142
191	7869	33116
192	7908	33069
193	7948	33021
194	7985	32966
195	8025	32922
196	8069	32893
197	8109	32845
198	8153	32816
199	8193	32773
200	8233	32728
201	8276	32697
202	8316	32652
203	8353	32594
204	8394	32554
205	8438	32525
206	8478	32481
207	8521	32447
208	8561	32403
209	8600	32355
210	8638	32303
211	8680	32263
212	8719	32217
213	8756	32161
214	8794	32111
215	8834	32067
216	8871	32012
217	8912	31972
218	8947	31908
219	8982	31845
220	9028	31825
221	9069	31782
222	9112	31751
223	9150	31698
224	9186	31641
225	9227	31603
226	9266	31553
227	9306	31511
228	9376	31568
229	9426	31559
230	9476	31546
231	9527	31539
232	9569	31499
233	9608	31454
234	9658	31439
235	9705	31420
236	9742	31365
237	9781	31316
238	9822	31275
239	9860	31224
240	9897	31170
241	9982	31268
242	10020	31216
243	10057	31161
244	10096	31114
245	10134	31061
246	10176	31025
247	10219	30987
248	10258	30939
249	10297	30891
250	10334	30839
251	10384	30822
252	10423	30775
253	10461	30725
254	10501	30680
255	10542	30639
256	10583	30598
257	10628	30566
258	10677	30547
259	10716	30500
260	10750	30439
261	10792	30400
262	10833	30359
263	10875	30320
264	10917	30279
265	10956	30233
266	10993	30181
267	11038	30150
268	11079	30107
269	11119	30064
270	11159	30020
271	11201	29980
272	11246	29950
273	11287	29906
274	11328	29867
275	11368	29820
276	11406	29771
277	11449	29736
278	11488	29687
279	11527	29643
280	11573	29614
281	11614	29570
282	11659	29539
283	11697	29491
284	11736	29443
285	11773	29392
286	11811	29342
287	11881	29373
288	11957	29417
289	12010	29405
290	12049	29357
291	12089	29312
292	12146	29309
293	12190	29273
294	12230	29229
295	12272	29188
296	12313	29145
297	12352	29099
298	12402	29077
299	12438	29022
300	12475	28970
301	12515	28925
302	12554	28879
303	12599	28845
304	12639	28802
305	12678	28753
306	12717	28708
307	12770	28692
308	12828	28686
309	12863	28632
310	12906	28592
311	12948	28554
312	12986	28503
313	13024	28455
314	13065	28413
315	13106	28370
316	13150	28333
317	13189	28287
318	13235	28255
319	13282	28225
320	13321	28178
321	13359	28130
322	13401	28089
323	13440	28042
324	13476	27989
325	13516	27945
326	13556	27900
327	13602	27868
328	13640	27820
329	13676	27767
330	13716	27723
331	13757	27680
332	13796	27633
333	13834	27587
334	13874	27541
335	13913	27495
336	13947	27439
337	13990	27401
338	14031	27358
339	14067	27307
340	14109	27267
341	14150	27224
342	14190	27180
343	14232	27140
344	14273	27098
345	14312	27053
346	14357	27018
347	14394	26969
348	14431	26918
349	14471	26874
350	14509	26828
351	14555	26795
352	14592	26746
353	14632	26701
354	14671	26655
